Citation,BinomialStudy,BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten,BinominalMieri,Notes
"Vanhoydonck, et al., 2010",Liolaemus bibronii,Liolaemus bibronii,Neotropic,Terrestrial,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus canqueli,Liolaemus canqueli,Neotropic,Arboreal/Terrestrial,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus ceii,Liolaemus coeruleus,Neotropic,Saxicolous,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus coeruleus,Liolaemus elongatus,Neotropic,Terrestrial,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus elongatus,Liolaemus escarchadosi,Neotropic,Saxicolous,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus escarchadosi,Liolaemus fitzingerii,Neotropic,Terrestrial,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus fitzingerii,Liolaemus hatcheri,Neotropic,Terrestrial,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus hatcheri,Liolaemus kingii,Neotropic,Terrestrial,Herbivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus kingii,Liolaemus kolengh,Neotropic,Terrestrial/Leaf Litter,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus kolengh,Liolaemus kriegi,Neotropic,Saxicolous,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus mapuche,Liolaemus mapuche,Neotropic,Terrestrial,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus morenoi,Liolaemus morenoi,Neotropic,Terrestrial,Omnivorous,,,,,Lifestyle inferred from https://sib.gob.ar/especies/liolaemus-mapuche#habitat
"Vanhoydonck, et al., 2010",Liolaemus petrophilus,Liolaemus petrophilus,Neotropic,Saxicolous,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus rothi,Liolaemus rothi,Neotropic,Terrestrial/Saxicolous,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus sarmientoi,Liolaemus sarmientoi,Neotropic,Terrestrial/Saxicolous,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus tenuis,Liolaemus tenuis,Neotropic,Arboreal,Carnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus xanthoviridis,Liolaemus xanthoviridis,Neotropic,Terrestrial,Omnivorous,,,,,
"Vanhoydonck, et al., 2010",Liolaemus zullyi,Liolaemus zullyae,Neotropic,Saxicolous,Carnivorous,,,,,
"McBrayer, 2004",Meroles suborbitalis,Meroles suborbitalis,Afrotropic,Terrestrial,Carnivorous,,,,,
"Guilloux, et al., 2020",Mochlus sundevallii,Mochlus sundevallii,Afrotropic,Fossorial,Carnivorous,,,, Mochlus afer ,
"Edwards , et al., 2013",Nucras holubi,Nucras holubi,Afrotropic,Terrestrial,Carnivorous,,,,,
"Edwards , et al., 2013",Nucras intertexta,Nucras intertexta,Afrotropic,Terrestrial,Carnivorous,,,,,
"Edwards , et al., 2013",Nucras tessellata,Nucras tessellata,Afrotropic,Terrestrial,Carnivorous,,,,,
Broeckhoven & Mouton 2014,Ouroborus cataphractus,Ouroborus cataphractus,Afrotropic,Saxicolous,Carnivorous,,,,,
"McBrayer, 2004",Pedioplanis lineoocellata,Pedioplanis lineoocellata,Afrotropic,Terrestrial,Carnivorous,,,,,
"McBrayer, 2004",Pedioplanis namaquensis,Pedioplanis namaquensis,Afrotropic,Terrestrial,Carnivorous,,,,,
"Meyers, et al., 2018",Phrynosoma cornutum,Phrynosoma cornutum,Neartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Meyers, et al., 2018",Phrynosoma hernandesi,Phrynosoma hernandesi,Neartic,Terrestrial,Carnivorous,,,,,
"Meyers, et al., 2018",Phrynosoma mcalli,Phrynosoma mcallii,Neartic,Terrestrial,Carnivorous,Carnivorous,,,Phrynosoma mcallii,
"Meyers, et al., 2018",Phrynosoma modestum,Phrynosoma modestum,Neartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Meyers, et al., 2018",Phrynosoma platyrhinos,Phrynosoma platyrhinos,Neartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Meyers, et al., 2018",Phrynosoma solare,Phrynosoma solare,Neartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Herrel, 2007",Plocederma stellio,Stellagama stellio,Paleartic,Arboreal/Saxicolous,Omnivorous,Omnivorous,,,Stellagama stellio,Also formerly known as Laudakia stellio (Metzger data paper)
"Herrel, et al., 2004",Podarcis atrata,Podarcis liolepis,Paleartic,Saxicolous,Omnivorous,Omnivorous,,,Podarcis liolepis,
"Donihue, et al., 2016",Podarcis erhardii,Podarcis erhardii,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,,,,
"Herrel, et al., 2004",Podarcis hispanica,Podarcis hispanicus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,42.8,Podarcis hispanicus,
"Herrel, 2007",Podarcis lilfordi,Podarcis lilfordi,Paleartic,Terrestrial,Omnivorous,Omnivorous,Omnivorous,61.8,,
"Verwaijen, et al., 2002",Podarcis melisellensis,Podarcis melisellensis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,,,,
"Herrel et al., 2001",Podarcis muralis ,Podarcis muralis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,Omnivorous,22.1,,
"Verwaijen & Van Damme, 2007",Podarcis peloponnesiaca,Podarcis peloponnesiacus,Paleartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,,,,Podarcis peloponnesiacus,
"Herrel, et al., 2008",Podarcis sicula,Podarcis siculus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,,,,
"Herrel, et al., 2004",Podarcis tiliguerta,Podarcis tiliguerta,Paleartic,Saxicolous,Carnivorous,Carnivorous,,,,
"Jones, et al., 2020",Pogona vitticeps,Pogona vitticeps,Australasia,Arboreal/Saxicolous,Omnivorous,Omnivorous,,,,
"Verwaijen & Van Damme, 2007",Psammodromus algirus,Psammodromus algirus,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,23.3,,
"Verwaijen & Van Damme, 2007",Psammodromus hispanicus,Psammodromus hispanicus,Paleartic,Terrestrial,Carnivorous,,,,,
"Guilloux, et al., 2020",Pygomeles braconnieri,Pygomeles braconnieri,Afrotropic,Fossorial,NA,,,,,
"Lappin, et al., 2006a",Sauromalus ater,Sauromalus ater,Neartic,Terrestrial/Saxicolous,Herbivorous,Herbivorous,,99,,
"Meyers & Irschick, 2015",Sceloporus clarkii,Sceloporus clarkii,Neartic,Arboreal/Saxicolous,Omnivorous,Carnivorous,,,,
"Meyers & Irschick, 2015",Sceloporus magister,Sceloporus magister,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Carnivorous,,,,
"Meyers & Irschick, 2015",Sceloporus undulatus,Sceloporus undulatus,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Carnivorous,,,,
"Guilloux, et al., 2020",Scelotes bipes,Scelotes bipes,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Scelotes montispectus,Scelotes montispectus,Afrotropic,Terrestrial,NA,,,,,Lifestyle inferred from IUCN
"Guilloux, et al., 2020",Scincus scincus,Scincus scincus,Paleartic,Terrestrial/Fossorial,Omnivorous,,,,,
"Herrel, et al., 2010",Sphenodon punctatus,Sphenodon punctatus,Australasia,Terrestrial,Carnivorous,Carnivorous,,14,,Lifestyle and diet inferred from Wikipedia
"Verwaijen & Van Damme, 2007",Takydromus sexlineatus,Takydromus sexlineatus,Indomalaya,Arboreal/Terrestrial,Carnivorous,Carnivorous,,,,"MBR was listed as Oriental, checking Wiki suggested Indomalaya"
"Massetti, et al., 2017",Tarentola mauritanica,Tarentola mauritanica,Paleartic,Arboreal/Saxicolous,Carnivorous,,,,,
"Herrel, 2007",Tiliqua rugosa,Tiliqua rugosa,Australasia,Terrestrial,Herbivorous,Omnivorous,Herbivorous,93.7,,
"Baeckens, et al., 2017",Trogonophis wiegmanni,Trogonophis wiegmanni,Paleartic,Fossorial,Carnivorous,,,,,
"Simon, et al., 2019",Tropidurus hispidus,Tropidurus hispidus,Neotropic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Omnivorous,Omnivorous,21.91,,
