BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Liolaemus hatcheri,F,Liolaemidae,Iguania,5,5,2.62,NA,59.17,11.61,8.59,5.29,11.97,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus kingii,F,Liolaemidae,Iguania,7,7,8.53,NA,74.98,14.94,10.01,6.91,15.56,Neotropic,Terrestrial,Herbivorous,NA,NA,NA
Liolaemus kolengh,F,Liolaemidae,Iguania,4,4,2.35,NA,56.66,11.7,8.45,5.16,11.71,Neotropic,Terrestrial/Leaf Litter,Omnivorous,NA,NA,NA
Liolaemus kriegi,F,Liolaemidae,Iguania,5,5,5.62,NA,76.39,16.11,11.47,7.25,16.54,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus mapuche,F,Liolaemidae,Iguania,5,5,6.49,NA,71.01,14.18,9.95,7.32,14.62,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus morenoi,F,Liolaemidae,Iguania,7,7,9.09,NA,69.03,14.22,9.92,7.05,14.48,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus petrophilus,F,Liolaemidae,Iguania,7,7,6.77,NA,78.46,17.89,11.22,6.79,18.42,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus rothi,F,Liolaemidae,Iguania,3,3,5.27,NA,80.9,17.1,12.33,8.19,18.47,Neotropic,Terrestrial/Saxicolous,Carnivorous,NA,NA,NA
Liolaemus sarmientoi,F,Liolaemidae,Iguania,2,2,5.46,NA,74.7,15.11,10.11,7.67,15.95,Neotropic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Liolaemus tenuis,F,Liolaemidae,Iguania,3,3,3.73,NA,51.91,12.15,7.34,4.79,12.04,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Liolaemus xanthoviridis,F,Liolaemidae,Iguania,2,2,10.27,NA,84.17,16.84,10.7,7.73,16.6,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus zullyae,F,Liolaemidae,Iguania,3,3,4.86,NA,66.5,14.03,9.42,6.94,14.66,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Ouroborus cataphractus,F,Cordylidae,Scincoidea,20,20,40.09,NA,100,27.05,24.81,12.92,26.52,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Podarcis liolepis,F,Lacertidae,Lacertoidea,9,9,2.6,NA,58.4,12.8,7,5.4,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,NA,NA
Podarcis erhardii,F,Lacertidae,Lacertoidea,160,160,14.14,8,74.27,14.81,10,8.1,12.72,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis hispanicus,F,Lacertidae,Lacertoidea,17,17,2.1,NA,53.8,12.1,7,4.9,NA,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,42.8
Podarcis lilfordi,F,Lacertidae,Lacertoidea,14,14,6,NA,60.7,14.9,8.5,6.5,NA,Paleartic,Terrestrial,Omnivorous,Omnivorous,Omnivorous,61.8
Podarcis melisellensis,F,Lacertidae,Lacertoidea,13,13,2.4,NA,51.3,11.5,6,4.7,12.8,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis muralis,F,Lacertidae,Lacertoidea,21,21,11.85,4.4,55.55,12,6.9,5.36,11.85,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,Omnivorous,22.1
Podarcis siculus,F,Lacertidae,Lacertoidea,NA,NA,6.7,4.72,64.08,13.75,7.51,5.95,14.44,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,NA,NA
Podarcis tiliguerta,F,Lacertidae,Lacertoidea,11,11,1.1,NA,50.1,11.4,6.1,4.6,NA,Paleartic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Pogona vitticeps,F,Agamidae,Iguania,11,11,52.66,236.38,184.64,42.23,37.89,24.62,52.2,Australasia,Arboreal/Saxicolous,Omnivorous,Omnivorous,NA,NA
Psammodromus algirus,F,Lacertidae,Lacertoidea,6,6,5.2,NA,63.2,14.8,9,6.8,NA,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,23.3
Sauromalus ater,F,Iguanidae,Iguania,15,15,20.7,151.7,151.3,26.2,21.5,11.8,NA,Neartic,Terrestrial/Saxicolous,Herbivorous,Herbivorous,NA,99
Sphenodon punctatus,F,Sphenodontidae,Sphenodontia,70,70,120.3,272.7,199.5,51.3,37.9,27.9,54.5,Australasia,Terrestrial,Carnivorous,Carnivorous,NA,14
Tarentola mauritanica,F,Phyllodactylidae,Gekkota,18,18,3.23,NA,66.86,19.75,15.79,8.89,NA,Paleartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Trogonophis wiegmanni,F,Trogonophidae,Lacertoidea,10,10,5.08,6.73,153.2,6.69,5,4,NA,Paleartic,Fossorial,Carnivorous,NA,NA,NA
Salvator merianae,F,Teiidae,Lacertoidea,9,9,312.94,NA,348,70.67,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Tupinambis teguixin,F,Teiidae,Lacertoidea,2,2,90,NA,305,NA,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,Omnivorous,NA,NA
Uromastyx aegyptia,F,Agamidae,Iguania,5,5,117.9,716,290,43.7,45.2,25.8,49.7,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,100
Urosaurus ornatus,F,Phrynosomatidae,Iguania,9,9,6,NA,55.84,11.43,9.49,6.5,NA,Neartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Xenosaurus grandis,F,Xenosauridae,Anguimorpha,10,10,18.3,NA,112.49,26.95,21.84,13.16,28.46,Neotropic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Xenosaurus newmanorum,F,Xenosauridae,Anguimorpha,13,13,13.36,NA,90.09,22.39,17.72,10.89,23.87,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Xenosaurus platyceps,F,Xenosauridae,Anguimorpha,15,15,11.34,NA,98.54,23.11,19.62,10.66,25.32,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
