"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SE.BM","SE.SVL","SE.HL","SE.HW","SE.HH","SE.LJL","SE.BF"
"Anolis brevirostris","F","Dactyloidae",32,32,NA,39.0891510639674,12.2056155300615,7.4291510639674,5.56798989873223,11.9356155300615,2.13804193693266
"Anolis brunneus","F","Dactyloidae",24,24,NA,46.9884128353982,14.0143303524935,6.82841283539817,4.90861904265976,14.3484128353982,2.04210373494326
"Anolis coelestinus","F","Dactyloidae",26,26,NA,46.9798442645979,14.6559219418951,7.79592194189509,5.95984426459786,14.9959219418951,3.52436839595037
"Anolis cuvieri","F","Dactyloidae",9,9,NA,123.38,40.16,19.8566666666667,18.1366666666667,38.37,49.41
"Anolis cybotes","F","Dactyloidae",44,44,NA,45.8713085693491,15.6513085693491,9.07583123951777,7.24884635296355,15.6513085693491,5.09447481725266
"Anolis evermanni","F","Dactyloidae",44,44,NA,45.8758312395178,13.9613085693491,7.9213085693491,5.9113085693491,14.2913085693491,1.66995214708399
"Anolis garmani","F","Dactyloidae",16,16,NA,74.43,21.1775,11.7725,9.2025,22.1675,5.915
"Anolis grahami","F","Dactyloidae",17,17,NA,44.9295131187889,13.9750712500727,7.50678918753997,5.52163990004069,14.0595131187889,1.66197523130123
"Anolis gundlachi","F","Dactyloidae",19,19,NA,45.9508865205641,14.364004048548,7.82400404854797,6.13088652056409,14.0408865205641,2.47218135266079
"Anolis krugi","F","Dactyloidae",14,14,NA,31.9407134902949,10.3287313275523,5.92735042819929,4.99269565303754,10.5507134902949,1.46554663803039
"Anolis lineatopus","F","Dactyloidae",44,44,NA,43.8082934559033,13.0382934559033,6.91829345590333,5.2913085693491,13.3382934559033,1.80090680674666
"Anolis olssoni","F","Dactyloidae",31,31,NA,39.0975658322294,10.9121776731686,5.32217767316865,4.46756583222945,11.4121776731686,1.39096058928338
"Anolis sheplani","F","Dactyloidae",16,16,NA,37.43,10.75,4.645,4.55,10.995,1.7075
"Anolis singularis","F","Dactyloidae",18,18,NA,34.143986531643,11.0099137802865,6.44577164466275,4.93927248643507,11.4792724864351,1.63840620433566
"Anolis smaragdinus","F","Dactyloidae",51,51,NA,44.819829968991,13.329829968991,6.609829968991,4.52683136941114,13.639829968991,1.35724145243615
"Anolis stratulus","F","Dactyloidae",28,28,NA,38.2222109930599,11.9484313483298,6.81788046015508,5.10788046015508,11.9484313483298,1.2411092167104
"Pogona vitticeps","F","Agamidae",11,11,259.48,190.73,43.54,39.27,25.73,53.94,58.64
"Gallotia galloti","F","Lacertidae",24,24,NA,93.7125807473323,23.2470110468943,15.1082482904639,11.8449489742783,NA,37.8251614946645
"Archaeolacerta bedriagae","F","Lacertidae",7,7,NA,66.8040518354904,16.3937253933194,9.791353814912,6.61576092031015,NA,4.6315218406203
"Lacerta bilineata","F","Lacertidae",2,2,NA,99.4020815280171,23.2707106781187,14.212132034356,12.0485281374239,NA,15.5606601717798
"Latastia longicaudata","F","Lacertidae",4,4,NA,79.85,18.6,9.75,8.1,NA,5
"Psammodromus algirus","F","Lacertidae",6,6,NA,66.9558842722675,15.6981462390205,9.73484692283495,7.33072277760302,NA,6.42474487139159
"Podarcis liolepis","F","Lacertidae",9,9,NA,59,13,7.1,5.46666666666667,NA,2.66666666666667
"Podarcis hispanicus","F","Lacertidae",17,17,NA,54.527606875109,12.2455213750218,7.12126781251817,4.99701425001453,NA,2.22126781251817
"Podarcis lilfordi","F","Lacertidae",14,14,NA,61.5017837257373,15.1939873661037,8.71380899352994,6.66035674514746,NA,6.40089186286864
"Podarcis tiliguerta","F","Lacertidae",11,11,NA,51.3361965127688,11.6110579412044,6.2206045378311,4.78090680674666,NA,1.22060453783111
"Anolis cristatellus","F","Dactyloidae",18,18,2.16128258770283,42.6660491817317,11.1067073110294,7.58313708498985,6.43606601717798,12.8678511301978,4.89755675768253
"Anolis oculatus","F","Dactyloidae",15,15,4.4352889452598,55.8084904804985,14.4484851895154,9.27750132274577,7.23750132274577,16.8404945788764,13.159599314733
"Iberolacerta horvathi","F","Lacertidae",25,25,NA,60.084,18.988,7.428,4.752,NA,0.948
"Ablepharus kitaibelii","F","Scincidae",5,5,0.818137767414995,42.3492662179699,6.44441330224498,3.55285912696499,2.55497058314499,5.94546903033498,0.227888543819998
"Tarentola mauritanica","F","Phyllodactylidae",18,18,NA,60.5457716446628,17.6877817459305,14.3065685424949,7.98006938426724,NA,2.42299831645537
"Tupinambis teguixin","F","Teiidae",2,2,NA,313.994398256693,NA,NA,NA,NA,62.0022243815159
"Salvator merianae","F","Teiidae",9,9,NA,331.276666666667,66.43,NA,NA,NA,257.943333333333
