BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Liolaemus petrophilus,M,Liolaemidae,Iguania,2,2,10.53,NA,95.94744299452283,21.94889393668845,14.34237590053236,8.509827560572969,23.607178207935913,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus rothi,M,Liolaemidae,Iguania,3,3,6.903153532995459,NA,87.80240794093612,17.641192008768392,13.619038105676658,9.068897274573418,19.364397089525283,Neotropic,Terrestrial/Saxicolous,Carnivorous,NA,NA,NA
Liolaemus sarmientoi,M,Liolaemidae,Iguania,4,4,9.14,NA,79.91,16.95,11.86,9.11,18.04,Neotropic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Liolaemus tenuis,M,Liolaemidae,Iguania,4,4,5.8999999999999995,NA,57.35,13.92,9.319999999999999,6,14.559999999999999,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Liolaemus xanthoviridis,M,Liolaemidae,Iguania,5,5,14.49092089322475,NA,90.8423369549492,18.084558747174878,12.552755348299891,8.951509230324909,18.596919426949878,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus zullyae,M,Liolaemidae,Iguania,5,5,9.64121506177483,NA,74.81459713474939,17.0233126291999,11.35790243257493,8.37609903369994,17.486787870774915,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Ouroborus cataphractus,M,Cordylidae,Scincoidea,19,19,71.35,NA,111.05,30.75,29.56,14.9,30.05,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Podarcis liolepis,M,Lacertidae,Lacertoidea,6,6,9.2,NA,65.10000000000001,16.4,9.4,7.7,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,NA,NA
Podarcis erhardii,M,Lacertidae,Lacertoidea,187,187,13.36,8.1,68.32000000000001,16.23,10.89,8.24,13.42,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis hispanicus,M,Lacertidae,Lacertoidea,10,10,5.4,NA,59.5,15.3,9,6.5,NA,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,42.8
Podarcis melisellensis,M,Lacertidae,Lacertoidea,25,25,8.1,NA,65.2,16,8.7,7,17.3,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis muralis,M,Lacertidae,Lacertoidea,30,30,10.559999999999999,7.6499999999999995,66.16,17.529999999999998,8.62,NA,NA,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,Omnivorous,22.1
Podarcis tiliguerta,M,Lacertidae,Lacertoidea,18,18,5,NA,60,15.9,8.9,6.9,NA,Paleartic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Pogona vitticeps,M,Agamidae,Iguania,11,11,92.88539614569588,280.15092587577254,201.88248911110688,49.55395979874118,44.66395979874118,30.86279857599498,60.38944849213714,Australasia,Arboreal/Saxicolous,Omnivorous,Omnivorous,NA,NA
Sauromalus ater,M,Iguanidae,Iguania,34,34,105.75475947422649,236.78142477979335,182.89428454762873,35.71547594742265,30.932380757938123,17.44928556845359,NA,Neartic,Terrestrial/Saxicolous,Herbivorous,Herbivorous,NA,99
Sphenodon punctatus,M,Sphenodontidae,Sphenodontia,74,74,219.8,607.4,258.2,67.3,51.2,37.699999999999996,72.5,Australasia,Terrestrial,Carnivorous,Carnivorous,NA,14
Tarentola mauritanica,M,Phyllodactylidae,Gekkota,12,12,4.37,NA,69.87,20.15,16.740000000000002,9.03,NA,Paleartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Trogonophis wiegmanni,M,Trogonophidae,Lacertoidea,15,15,6.439354670786374,8.456653005407116,168.07499869859438,7.502217668469038,5.670947501931113,4.612217668469039,NA,Paleartic,Fossorial,Carnivorous,NA,NA,NA
Salvator merianae,M,Teiidae,Lacertoidea,10,10,502.63,NA,419.09999999999997,92.63,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Tupinambis teguixin,M,Teiidae,Lacertoidea,3,3,86.89,NA,321.37,NA,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,Omnivorous,NA,NA
Uromastyx aegyptia,M,Agamidae,Iguania,7,7,133.62,696.81,297.51,40.85,43.63,27.08,47.45,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,100
Urosaurus ornatus,M,Phrynosomatidae,Iguania,12,12,6.053871500692704,NA,51.56774300138541,11.983538290724795,9.885692193816531,6.664974226119285,NA,Neartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Varanus exanthematicus,M,Varanidae,Anguimorpha,7,7,107.61,NA,262.28000000000003,52.66,36.65,26.93,NA,Afrotropic,Arboreal/Terrestrial,Carnivorous,Carnivorous,NA,NA
Xenosaurus grandis,M,Xenosauridae,Anguimorpha,11,11,24.060000000000002,NA,117.29,28.77,23.27,13.76,30.75,Neotropic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Xenosaurus newmanorum,M,Xenosauridae,Anguimorpha,7,7,25.669999999999998,NA,112.55,29.669999999999998,22.58,14.030000000000001,31.87,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Xenosaurus platyceps,M,Xenosauridae,Anguimorpha,10,10,16.79,NA,105.88000000000001,26.6,23.82,12.43,29.490000000000002,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
