BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Eremiascincus isolepis,unknown,Scincidae,5,5,0.42285912696499034,3.8228730157199227,57.54188673140458,10.484984471899924,7.891876121339938,NA,NA,Australasia,Terrestrial,Carnivorous,Carnivorous,NA,NA
Eurolophosaurus nanuzae,unknown,Tropiduridae,29,29,30.962892567463886,NA,54.23209264616919,NA,NA,NA,NA,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Gallotia galloti,M,Lacertidae,56,16,118.62249999999999,NA,109.7983299892614,28.335011520309205,18.77634782651877,14.951693051357015,NA,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,NA
Iberolacerta horvathi,M,Lacertidae,26,26,1.6125629700011281,NA,54.95698905271291,19.51141703946306,7.698446454055274,4.986679485946983,NA,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Karusasaurus polyzonus,M,Cordylidae,16,16,36.5975,NA,102.86500000000001,26.235,22.1825,13.095,26.9325,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Archaeolacerta bedriagae,M,Lacertidae,14,14,8.215592719267214,NA,70.38552954978556,19.075057601546032,11.381070235442364,7.2207134902949095,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,Omnivorous,50
Lacerta bilineata,M,Lacertidae,2,2,23.44142135623731,NA,92.16776695296637,25.46066017177982,16.012132034355965,12.012132034355965,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Dalmatolacerta oxycephala,M,Lacertidae,34,34,6.242997170285018,NA,58.914495755427524,15.271498585142508,8.354348726628258,5.9543487266282575,15.951449575542753,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Lacerta trilineata,M,Lacertidae,12,12,70.01245842032164,NA,140.0637306695895,43.35877132402715,24.161658075373094,21.532790561913615,28.621243556529823,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Zootoca vivipara,M,Lacertidae,20,20,2.173914855054991,3.1607476707849886,50.38094500504743,11.029691942694988,6.870498447189992,5.512734515167492,11.247580486514986,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Latastia longicaudata,M,Lacertidae,3,3,8.154700538379252,NA,93.51769145362398,21.19282032302755,11.488675134594812,9.788675134594813,NA,Afrotropic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Liolaemus baguali,M,Liolaemidae,6,6,14.620000000000001,NA,91.04,19.57,13.39,8.31,20.509999999999998,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus bibronii,M,Liolaemidae,4,4,3.54,NA,55.26,11.91,7.96,5.69,11.930000000000001,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus canqueli,M,Liolaemidae,7,7,15.15,NA,97.21000000000001,19.05,11.799999999999999,9.65,20.14,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Liolaemus coeruleus,M,Liolaemidae,13,13,5.44,NA,62.51,13.05,9.51,5.93,13.64,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Liolaemus elongatus,M,Liolaemidae,7,7,9.17,NA,76.63000000000001,16.61,10.74,6.94,16.63,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus escarchadosi,M,Liolaemidae,4,4,11.58,NA,80.94,17.44,11.4,9.61,18.53,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus fitzingerii,M,Liolaemidae,4,4,16.689999999999998,NA,97.05,19.46,13.54,9.78,20.17,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
